feature,value,0,1,2,3,4,5,<s>
attn_0_0_outputs,_,-0.30102012,0.37359685,-0.01664785,0.22228357,-0.35673207,0.062461957,0.19639757
attn_0_0_outputs,_,-0.18159392,-0.21358971,0.15128647,0.17646746,0.18551707,-0.037012294,0.09854436
attn_0_0_outputs,_,-0.20681827,0.40237692,0.06660144,0.15274145,-0.5744248,-0.26034623,-0.30553097
attn_0_0_outputs,_,0.12859131,-0.53085387,0.02654026,-0.04106722,-0.05990643,-0.39820734,0.044883247
attn_0_0_outputs,_,-0.7512447,-0.17097078,-0.10297005,-0.40586823,-0.1194103,0.31841606,-0.1274629
attn_0_0_outputs,_,-0.71038073,0.82211196,0.43644002,-0.5092584,0.4704961,-0.39108986,-0.38872734
attn_0_0_outputs,_,-0.14921261,-0.6829235,-0.08810476,0.84264123,-0.08387434,-0.10423818,-0.75287974
attn_0_0_outputs,_,0.12400668,-0.4625251,0.38877103,-0.6081328,-0.560729,-0.45896497,-0.6875085
attn_0_0_outputs,_,-0.16253929,-0.2111673,0.70424145,0.06606467,-0.3659704,-0.060092736,-0.36812267
attn_0_0_outputs,_,0.04445338,-0.15063599,-0.3739701,0.82195383,-0.5486682,0.87238204,-0.44550946
attn_0_0_outputs,_,-0.7043993,0.53024745,0.030240702,0.1093443,-0.09288348,-0.55117095,0.0002767317
attn_0_0_outputs,_,0.78190744,0.11404036,0.38300523,0.29684374,-0.53575027,0.024035418,0.2522915
attn_0_1_outputs,0,0.4380258,-0.28511328,0.15800767,0.14953154,-0.055650685,-0.14509092,-0.0956205
attn_0_1_outputs,1,0.21652885,0.5835707,0.2176392,0.2830624,0.13007054,0.23502903,0.020098802
attn_0_1_outputs,2,0.07457956,-0.4238195,0.59598124,0.053339645,-0.024262961,0.04656155,-0.29734224
attn_0_1_outputs,3,0.2858467,-0.08318135,0.29188767,0.70631194,0.23944327,0.2521246,-3.1784477
attn_0_1_outputs,4,0.3682751,-0.05423425,0.29786944,0.29295358,0.56669736,0.28531426,-0.011894468
attn_0_1_outputs,5,0.12963769,-0.20591906,0.14552867,0.21973285,0.23682258,-0.20276745,-0.13472131
attn_0_1_outputs,<pad>,-0.22196515,-0.43498665,-0.012225501,-0.5233998,-0.11826451,0.2727764,0.637299
attn_0_1_outputs,<s>,0.07414674,-0.1767087,0.07152835,-0.21514598,-0.10820807,-0.18527599,1.5627725
attn_0_1_outputs,_,0.48820272,-0.19037242,0.38366416,0.1276272,0.03968446,0.050975688,-0.28787965
attn_0_1_outputs,_,0.37282968,0.47009584,0.494331,-0.15221708,0.43503156,-0.15512043,-0.26050845
attn_0_1_outputs,_,0.26298192,0.14017072,-0.20497742,-0.4611037,-0.076947816,-0.07092021,-0.6995498
attn_0_1_outputs,_,-0.0069657834,-0.030905435,0.23623,-0.6043523,0.23258129,-0.0034485625,-0.11004381
attn_0_1_outputs,_,0.41883066,0.5255364,-0.18947986,-0.19757783,0.38719174,-0.05114512,-0.3534494
attn_0_1_outputs,_,-0.17321023,0.056839123,0.36794427,-0.22145717,-0.34172702,0.44897544,-1.014208
attn_0_1_outputs,_,0.19401145,0.15196036,-0.12441171,0.040949754,0.61267656,-0.50097066,0.33726424
