epoch,epoch_loss,split,loss,acc,sample_fn
33,0.046273224,val,0.17260636,0.9306481481481481,gumbel_soft
33,0.046273224,test,0.81830865,0.8543104508016789,gumbel_soft
34,0.044375915,train,0.04022734,0.9839722222222222,gumbel_soft
34,0.044375915,val,0.21133271,0.920074074074074,gumbel_soft
34,0.044375915,test,0.66956955,0.8740758302161811,gumbel_soft
35,0.04341543,train,0.04133504,0.9841388888888889,gumbel_soft
35,0.04341543,val,0.17247222,0.9331296296296296,gumbel_soft
35,0.04341543,test,0.60194397,0.899733066399733,gumbel_soft
36,0.0403187,train,0.037486933,0.9850222222222222,gumbel_soft
36,0.0403187,val,0.1661441,0.9342037037037038,gumbel_soft
36,0.0403187,test,0.5699597,0.8896791528370476,gumbel_soft
37,0.040487815,train,0.040729363,0.9844388888888889,gumbel_soft
37,0.040487815,val,0.2632109,0.8996851851851851,gumbel_soft
37,0.040487815,test,0.78211623,0.8579456649632088,gumbel_soft
38,0.045143187,train,0.04210049,0.9843055555555555,gumbel_soft
38,0.045143187,val,0.27716997,0.8993703703703704,gumbel_soft
38,0.045143187,test,1.1155192,0.8228930685071036,gumbel_soft
39,0.03926036,train,0.03492655,0.9868277777777777,gumbel_soft
39,0.03926036,val,0.20138256,0.9287777777777778,gumbel_soft
39,0.03926036,test,0.7034094,0.8734699611892595,gumbel_soft
40,0.03596597,train,0.03686294,0.9858055555555556,gumbel_soft
40,0.03596597,val,0.12523033,0.9507592592592593,gumbel_soft
40,0.03596597,test,0.53572315,0.8958256502116151,gumbel_soft
41,0.03651607,train,0.035376687,0.9862166666666666,gumbel_soft
41,0.03651607,val,0.13526939,0.9481111111111111,gumbel_soft
41,0.03651607,test,0.64721143,0.8804418453541261,gumbel_soft
42,0.035272166,train,0.033444926,0.98695,gumbel_soft
42,0.035272166,val,0.17938356,0.9278703703703703,gumbel_soft
42,0.035272166,test,0.70034486,0.8738475317422686,gumbel_soft
43,0.0371586,train,0.034651004,0.9868888888888889,gumbel_soft
43,0.0371586,val,0.1961923,0.9209259259259259,gumbel_soft
43,0.0371586,test,0.82049406,0.8710552657921079,gumbel_soft
44,0.036639236,train,0.033744488,0.9870333333333333,gumbel_soft
44,0.036639236,val,0.15894374,0.9356481481481481,gumbel_soft
44,0.036639236,test,0.81666905,0.8698698698698699,gumbel_soft
45,0.032224834,train,0.040520824,0.98455,gumbel_soft
