feature,value,0,1,2,3,4
attn_0_1_outputs,<pad>,-1.4804593,1.2709787,1.2228447,-2.0427146,-0.62185967
attn_0_1_outputs,<s>,0.26027265,0.32204664,0.20696588,-1.5763553,0.53350097
attn_0_1_outputs,_,0.9093928,0.6087401,-1.0402691,1.5359046,-1.0457902
attn_0_1_outputs,_,-1.2523679,1.1306456,-1.4766115,1.7873296,-1.0038328
attn_0_1_outputs,_,1.4078178,-1.2308031,-1.2511098,1.8264873,-1.0183091
attn_0_1_outputs,_,1.3955262,-1.2330534,-1.6118432,1.6909333,-0.8882461
attn_0_1_outputs,_,-1.0364261,0.9837795,1.1998258,0.6651306,-0.930666
attn_0_1_outputs,_,-0.16823566,0.44467652,-0.3122945,1.7213538,-1.1273092
attn_0_1_outputs,_,-1.5734609,1.1153136,-1.1889199,1.5812249,-1.111691
attn_0_1_outputs,_,-1.6646333,1.1241345,1.1129621,-0.71493626,-1.0902276
attn_0_1_outputs,_,-1.2155777,1.6783098,-0.9443747,1.7449639,-1.0135067
attn_0_1_outputs,_,0.8677317,-1.183359,-1.330211,1.5567632,-0.81115067
attn_0_1_outputs,_,-0.99432176,0.40815878,-1.0260953,1.6207318,-0.82427835
attn_0_1_outputs,_,-1.198376,-1.0525318,-1.4875221,1.5196567,-1.0299907
attn_0_1_outputs,_,-1.3387423,1.0626719,1.1277623,1.5414735,-1.1601511
attn_0_1_outputs,_,-1.1840117,-0.4869449,0.6875901,1.6026365,-1.015968
attn_0_1_outputs,_,1.2457557,1.1132739,-1.2827351,0.5885126,-0.42849922
attn_0_1_outputs,_,0.7629426,1.0928377,1.1089823,0.40936846,-1.0500875
attn_0_1_outputs,_,1.4121578,-0.18558395,-1.3936666,0.11775979,-0.81468576
attn_0_1_outputs,_,-1.7648389,-1.3678813,-1.8651595,1.3760836,1.4567313
attn_0_1_outputs,_,-1.4037601,1.3352907,-1.761407,1.5077264,-0.83249754
attn_0_1_outputs,_,-0.9724786,-0.16720207,-0.9615032,1.4373308,-1.3446099
attn_0_1_outputs,_,1.1370561,-1.226114,-1.8276639,-0.28210166,1.8931879
attn_0_1_outputs,_,-0.10399568,-0.09447475,-0.42388925,-0.10958598,-0.15359907
attn_0_1_outputs,_,0.24414192,-0.19120476,-0.01663254,0.27181807,0.1964636
attn_0_1_outputs,_,0.11044706,-0.20332593,0.13816811,0.53806424,-0.86505085
attn_0_1_outputs,_,0.66949666,0.70829433,-0.4693121,-0.4239057,-0.45128834
attn_0_1_outputs,_,0.0062024933,0.51422334,-0.59236085,-0.86634326,0.5847788
attn_0_1_outputs,_,-0.5274579,0.6885958,-0.09130222,-0.79726225,-0.22098795
attn_0_1_outputs,_,-0.9926414,-0.18993063,-0.34690222,-0.44419792,0.33513528
attn_0_1_outputs,_,0.4790168,0.52502966,0.048301242,0.070574455,-0.8184432
attn_0_1_outputs,_,0.27562395,0.47728497,0.28422618,0.9540978,0.23396635
attn_0_1_outputs,_,0.117998846,0.24672478,0.13879684,0.15726969,0.73859185
