feature,value,0,1,2,3,4
attn_0_0_outputs,38,1.1330798,1.6528789,2.0398097,-0.08904483,-2.8335268
attn_0_0_outputs,39,-1.3844733,2.2663624,2.0880778,0.054499034,-2.7939115
attn_0_0_outputs,4,-0.50712585,-0.7766564,0.2567737,0.22867793,0.81152296
attn_0_0_outputs,40,0.14477158,-0.348939,-0.49048916,-0.2636899,-0.618118
attn_0_0_outputs,41,-0.031375494,-0.6535414,-0.364646,-0.69150406,-0.34630358
attn_0_0_outputs,42,0.29779574,0.00896939,0.47639677,-0.056321606,0.2726025
attn_0_0_outputs,43,0.58802587,0.29603297,-0.49965438,-0.101710975,-0.408068
attn_0_0_outputs,44,1.0427985,-0.4029228,-0.049039606,0.15289171,0.53367853
attn_0_0_outputs,45,0.46576828,0.07419491,-0.3544534,0.59775287,-0.26190016
attn_0_0_outputs,46,0.43564588,-0.10839674,0.034425378,-0.022785448,0.7419719
attn_0_0_outputs,47,0.4837675,0.2739195,-0.4604939,0.36121154,0.580692
attn_0_0_outputs,48,-0.37275872,-0.23411225,-0.23416209,0.135506,-0.21134523
attn_0_0_outputs,49,0.023136333,-0.29907966,0.79505396,-0.22175434,-0.35332826
attn_0_0_outputs,5,-0.50137085,-0.6050947,0.121710785,0.33821222,1.1500181
attn_0_0_outputs,6,0.51672643,-0.7248562,0.15102889,-0.032434393,0.61969566
attn_0_0_outputs,7,-0.24390672,-1.1179835,-0.20924337,0.16963677,1.9819777
attn_0_0_outputs,8,0.25252935,0.061078567,0.37345207,-0.24577883,0.1439235
attn_0_0_outputs,9,1.8788468,1.5957335,0.7425565,-0.38241073,-0.9331726
attn_0_1_outputs,0,-0.97727156,0.048085157,0.22877008,0.21785958,-0.23410946
attn_0_1_outputs,1,-1.6210287,0.03645461,0.2913744,0.25722638,-0.12130557
attn_0_1_outputs,2,-1.2550431,0.08360169,0.7842611,0.20556554,-0.44704047
attn_0_1_outputs,3,-2.1397898,-0.86074346,-0.055873685,0.537214,-0.19381316
attn_0_1_outputs,4,-1.9435444,-0.448169,0.19893554,0.671286,0.96641207
attn_0_1_outputs,</s>,-1.5025365,0.064919166,0.29856256,1.3160046,2.3537266
attn_0_1_outputs,<pad>,-1.1319095,-0.48781887,0.56741214,0.008185675,2.5921943
attn_0_1_outputs,<s>,-4.2545943,-2.376245,0.4592287,1.5456873,2.5948658
attn_0_1_outputs,_,-0.037175518,0.21114813,-0.1591837,0.15018377,-0.39844236
attn_0_1_outputs,_,0.14608072,0.30236638,-0.96420926,-0.0011961103,0.5004956
attn_0_1_outputs,_,0.2219074,0.37604716,0.47236755,-0.19948015,0.9892344
attn_0_1_outputs,_,-0.42795417,-1.4553696,0.031003056,-0.5886631,2.174823
attn_0_1_outputs,_,0.9355431,-0.19273347,0.5602276,-0.74750555,0.77482474
attn_0_1_outputs,_,0.46750045,0.13686727,0.14597826,-0.4470356,-0.38744387
attn_0_1_outputs,_,-0.2667551,-0.03129296,1.1442444,-0.5276192,-0.20607083
attn_0_1_outputs,_,-0.6600269,-0.8484779,-0.9560595,-1.1230636,2.0261066
attn_0_1_outputs,_,0.60844237,-0.08688544,-0.27439952,0.022210008,-0.32318553
attn_0_1_outputs,_,0.35373056,0.9264225,-0.79375345,0.119709946,0.019086935
attn_0_1_outputs,_,0.8727835,0.83585656,-0.29478538,0.107211806,0.09174828
attn_0_1_outputs,_,0.0833784,-0.7620316,-0.6004962,-0.049333144,0.98450476
attn_0_1_outputs,_,0.46505415,-0.05972068,-0.5772681,-0.53582734,0.2392439
attn_0_1_outputs,_,0.46263355,0.6694649,-0.40537566,-0.008537016,0.54258037
attn_0_1_outputs,_,0.8456666,-0.033901226,0.1272042,0.29501864,0.32851365
