feature,value,1,2,3,4,5,6
mlp_0_0_outputs,0,0.65908265,0.22027965,-0.54678106,-1.2382748,-1.0694655,-0.92789966
mlp_0_0_outputs,1,0.90785164,0.4404271,-0.35630196,-1.0680498,-0.8529673,-0.42792323
mlp_0_0_outputs,10,1.0182018,0.23740058,-0.050983626,-0.22924843,-0.5228348,-0.3714721
mlp_0_0_outputs,11,1.1795071,0.58909804,-0.39412785,-1.1112933,-0.28126976,-0.27217004
mlp_0_0_outputs,12,0.7104124,0.34072194,-0.27724904,-0.6609231,-0.78635573,-0.23149166
mlp_0_0_outputs,13,0.46972966,0.23310423,-0.1058742,-0.43910033,-0.12224815,-0.98538536
mlp_0_0_outputs,14,2.6173491,0.65584475,0.76446426,-1.152612,-3.5813277,-6.7508144
mlp_0_0_outputs,15,0.56114787,-0.016337212,-0.40781394,-0.93447286,-0.58158875,0.20025714
mlp_0_0_outputs,16,0.5977907,-0.09655542,-0.49075413,-0.8876881,-0.45637923,-1.0370667
mlp_0_0_outputs,17,0.9223787,0.2816286,-0.4413964,-1.6855996,-2.5119798,-1.5603942
mlp_0_0_outputs,18,0.65907866,0.17591472,-0.4383768,-1.296227,-0.3259727,-1.4362428
mlp_0_0_outputs,19,3.0833,4.9462814,-0.953843,-2.6396868,-8.935897,-15.17001
mlp_0_0_outputs,2,0.7282801,0.21975696,-0.41577417,-1.6354698,-1.0243753,-1.2111267
mlp_0_0_outputs,3,0.4216247,0.47260576,-0.0064988616,0.009245069,-0.57160234,-0.8401072
mlp_0_0_outputs,4,1.4507946,0.54376286,0.05886773,-1.3833994,-3.277705,-2.3646753
mlp_0_0_outputs,5,0.6999581,0.50553256,-0.02257765,-0.19709906,-0.22746259,-0.15523395
mlp_0_0_outputs,6,0.46059528,0.2608859,-0.13403982,-0.4184876,-0.43689978,-0.6349513
mlp_0_0_outputs,7,-0.09769699,0.30878633,-0.026644556,-0.32648468,-0.32738936,0.07068668
mlp_0_0_outputs,8,0.6002215,0.36607486,-0.058220346,-0.35817763,-0.3015708,-0.45614412
mlp_0_0_outputs,9,0.26680228,0.33651578,0.07973228,-1.498881,-0.0047046435,-0.23073298
mlp_0_1_outputs,0,0.7181649,0.088002466,-0.73355764,-0.68869394,-0.10037221,-0.29519036
mlp_0_1_outputs,1,-0.3199347,0.56470543,-0.035287,-0.62718195,-0.5569798,0.8981339
mlp_0_1_outputs,10,0.6341151,0.40572953,-0.712498,-1.5603544,-1.4317381,-0.1121475
mlp_0_1_outputs,11,0.82805365,0.10363228,-0.59133077,-0.81258017,-0.42387354,-0.27774313
mlp_0_1_outputs,12,0.5585158,-0.067609064,0.27497905,-0.53180677,-0.50485975,-0.3472932
mlp_0_1_outputs,13,0.24259599,0.6208227,0.012901952,0.085552014,-0.11244032,-0.9181209
mlp_0_1_outputs,14,0.35128996,-0.03868349,0.24333754,-0.025986526,-0.36143962,-0.7780563
mlp_0_1_outputs,15,0.45619404,0.92426413,0.28452623,-0.52645975,-0.66053945,-0.35343874
mlp_0_1_outputs,16,0.8129952,0.15461792,0.16535227,-0.6878003,0.030389832,0.05258179
mlp_0_1_outputs,17,-0.7248405,0.35778844,-0.048596498,-0.9148471,-0.059633914,0.15885867
mlp_0_1_outputs,18,0.8498038,0.4200683,-0.110485494,-0.037916914,0.06530707,-0.54553246
mlp_0_1_outputs,19,0.38116595,0.7417591,-0.39105722,-0.22454609,-0.16799854,-0.057956822
mlp_0_1_outputs,2,3.083267,3.5370135,-0.7018299,-4.401437,-10.255051,-17.42027
mlp_0_1_outputs,3,-0.09142591,0.24378528,-0.09745315,-0.3851108,-0.19601242,-0.4726496
mlp_0_1_outputs,4,-0.07543444,-0.44089577,0.2930614,0.030584846,-0.5770864,-0.25356048
mlp_0_1_outputs,5,0.21902823,-0.0575016,-0.1137193,-0.5394301,0.35507455,0.11116612
mlp_0_1_outputs,6,0.8574622,0.597124,0.3117172,0.3473655,0.2600985,-0.3622229
mlp_0_1_outputs,7,0.9991956,0.41276777,-0.2823957,0.016987048,-0.28700864,-1.2193352
mlp_0_1_outputs,8,0.0773306,-0.037086118,-0.33127686,0.32219332,-0.32191467,-0.20054132
mlp_0_1_outputs,9,1.1471262,0.41438302,-0.17583807,-0.78206736,-0.31761718,0.2654172
num_attn_0_0_outputs,_,0.9587609,0.18954277,-0.014660605,-0.22507906,-0.4553405,-1.6151892
